鄉鎮市區碼,醫院家數,醫事人員總計,西醫師,中醫師,牙醫師,藥師,藥劑生,醫事檢驗師,醫事檢驗生,醫事放射師,醫事放射士,護理師,護士,助產師,助產士,營養師,物理治療師,物理治療生,職能治療師,職能治療生,臨床心理師,諮商心理師,呼吸治療師,語言治療師,聽力師,牙體技術師,牙體技術生,驗光師,驗光生,臨床社會工作人員,其他技術人員,行政事務人員,技工工友司機,鄉鎮市區名稱
733,6,279,36,0,0,16,0,7,1,9,1,114,26,0,0,2,32,2,16,0,2,0,2,13,0,0,0,0,0,1,14,72,19,高雄市新興區
734,7,1072,137,13,5,76,0,47,0,45,0,634,34,0,0,6,38,2,13,0,5,1,8,6,2,0,0,0,0,8,34,265,60,高雄市前金區
735,8,3333,470,11,31,156,1,154,2,98,1,1840,354,0,0,33,50,16,45,3,25,1,29,6,5,0,0,0,2,47,169,885,177,高雄市苓雅區
736,4,174,25,0,0,13,0,6,1,2,0,71,22,1,0,2,8,2,11,0,1,0,0,9,0,0,0,0,0,1,5,56,12,高雄市前鎮區
737,1,60,8,1,2,6,0,4,0,2,0,30,0,0,0,0,5,0,2,0,0,0,0,0,0,0,0,0,0,1,1,21,3,高雄市旗津區
738,3,803,110,0,10,48,0,35,0,28,0,512,18,0,0,7,12,1,7,0,3,0,10,1,1,0,0,0,0,6,19,183,38,高雄市小港區
1101,2,73,9,0,0,6,0,1,0,1,0,39,6,0,0,2,0,1,4,0,3,0,1,0,0,0,0,0,0,3,6,32,23,基隆市中正區
1103,1,111,11,0,1,6,0,5,2,7,0,55,11,0,0,1,3,3,2,0,0,0,3,1,0,0,0,0,0,1,33,32,21,基隆市暖暖區
1104,1,186,27,0,1,10,0,10,1,11,0,97,14,0,0,3,8,0,1,0,0,0,3,0,0,0,0,0,0,1,7,51,78,基隆市仁愛區
1106,3,1624,400,20,18,76,1,45,0,39,0,885,56,0,0,12,12,2,12,2,8,1,28,5,2,0,0,0,0,16,58,339,42,基隆市安樂區
1107,2,579,65,5,4,39,0,29,1,15,0,338,23,0,0,7,17,3,18,0,5,0,5,2,2,0,0,0,1,11,24,290,38,基隆市信義區
1201,3,1854,259,0,24,82,0,78,0,66,0,1200,54,2,1,15,20,1,14,0,7,0,19,6,4,0,0,0,2,11,96,425,187,新竹市東區
1204,5,1791,284,3,24,80,3,72,2,55,1,1110,58,0,0,18,20,7,16,1,11,0,14,6,2,0,0,1,3,17,61,244,207,新竹市北區
2201,4,3255,487,21,37,145,1,128,2,107,0,1998,105,0,3,26,62,11,37,1,16,3,47,9,5,1,0,2,1,85,519,742,436,嘉義市東區
2202,8,1166,137,3,3,57,0,49,0,43,2,654,73,0,0,17,44,11,35,2,7,0,21,7,1,0,0,0,0,19,34,337,119,嘉義市西區
3101,7,3255,601,2,32,129,1,101,0,107,1,1958,102,1,1,24,56,9,34,2,15,1,43,23,8,1,0,2,1,37,178,443,234,新北市板橋區
3102,4,837,107,3,3,49,1,30,0,33,3,448,57,1,0,9,35,1,24,2,6,1,12,11,1,0,0,0,0,8,31,269,109,新北市三重區
3103,2,553,92,0,7,26,3,31,0,25,0,272,31,0,1,6,24,1,11,2,7,0,5,7,2,0,0,0,0,14,32,217,17,新北市永和區
3104,5,2574,545,0,89,111,0,83,2,86,0,1429,73,0,0,22,34,3,28,0,12,0,40,11,3,3,0,0,0,12,64,458,377,新北市中和區
3105,7,3412,617,29,48,164,0,145,2,129,0,1939,114,2,0,33,53,3,36,0,18,1,52,14,8,0,2,2,1,46,190,629,446,新北市新店區
3106,8,1370,180,8,4,73,2,55,0,45,1,798,69,0,0,15,41,3,36,2,8,0,17,11,2,0,0,0,0,18,71,323,320,新北市新莊區
3107,1,160,21,0,0,9,0,8,0,9,0,73,26,0,0,2,6,0,2,0,0,0,4,0,0,0,0,0,0,1,6,35,46,新北市樹林區
3108,1,10,2,0,0,1,0,0,0,0,0,1,4,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,3,6,新北市鶯歌區
3109,3,985,114,14,17,53,1,33,1,25,0,624,29,3,0,9,14,0,17,0,5,0,19,5,2,0,0,0,0,18,72,257,57,新北市三峽區
3110,5,1841,304,0,13,67,0,93,0,52,0,1156,38,0,0,16,14,1,20,3,13,5,37,5,4,0,0,0,0,27,135,283,306,新北市淡水區
3111,1,868,80,0,14,37,0,30,0,38,0,595,17,0,0,6,15,4,12,0,4,0,11,3,2,0,0,0,0,6,13,215,5,新北市汐止區
3112,1,31,4,0,0,3,0,3,0,2,0,10,7,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3,15,3,新北市瑞芳區
3113,4,271,28,0,0,15,0,12,0,8,0,118,45,0,0,5,12,3,13,0,0,0,10,2,0,0,0,0,0,1,13,71,21,新北市土城區
3114,1,32,7,0,0,3,0,1,0,1,0,14,3,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,4,3,新北市蘆洲區
3116,1,824,135,0,3,28,0,29,0,31,0,553,5,0,0,5,12,0,4,0,3,0,11,3,2,0,0,0,0,5,36,207,46,新北市泰山區
3121,1,14,2,0,0,1,0,0,0,0,0,5,2,0,0,1,0,0,2,0,1,0,0,0,0,0,0,0,0,1,2,6,2,新北市三芝區
3123,1,186,15,0,0,10,0,3,0,1,0,123,3,0,0,2,0,0,17,0,12,0,0,0,0,0,0,0,0,15,5,35,48,新北市八里區
3127,1,110,19,0,1,6,0,5,1,5,0,60,1,0,0,1,6,1,2,0,1,0,0,1,0,0,0,0,0,2,7,43,6,新北市金山區
3201,9,3977,502,13,17,169,0,178,3,136,3,2464,200,2,2,35,74,8,82,1,29,3,34,16,6,0,0,0,0,46,203,871,297,桃園市桃園區
3202,11,1244,151,0,5,56,0,69,3,53,0,590,167,0,0,10,58,15,37,1,5,0,11,11,1,0,0,0,1,5,75,406,132,桃園市中壢區
3204,2,658,88,0,6,31,0,31,0,28,0,374,47,0,0,7,19,6,11,0,1,1,5,1,2,0,0,0,0,3,30,249,52,桃園市楊梅區
3206,2,121,17,0,0,8,0,2,0,3,0,53,19,0,0,1,3,1,8,0,5,0,0,0,0,0,0,1,0,5,8,32,34,桃園市大園區
3207,3,7256,1512,48,112,281,1,246,7,168,1,4376,171,0,0,47,43,6,29,3,19,0,145,16,11,8,6,0,0,40,189,1531,71,桃園市龜山區
3209,2,896,142,0,13,39,0,31,3,27,0,550,37,1,0,7,10,4,12,0,4,2,9,3,2,0,0,0,0,13,28,273,13,桃園市龍潭區
3210,5,1407,224,6,6,57,1,40,4,43,1,843,107,0,0,13,26,2,11,0,5,0,13,4,1,0,0,0,0,9,101,461,34,桃園市平鎮區
3211,1,215,24,2,0,8,0,6,0,6,0,125,9,0,0,1,24,0,7,0,0,0,1,2,0,0,0,0,0,2,0,38,4,桃園市新屋區
3301,1,56,6,0,0,4,0,0,1,0,0,26,10,0,0,1,0,0,4,1,3,0,0,0,0,0,0,0,0,4,4,27,0,新竹縣關西鎮
3303,4,689,84,1,5,37,0,26,2,25,1,397,47,0,0,7,14,3,21,0,11,0,4,3,1,0,0,0,0,14,24,230,70,新竹縣竹東鎮
